tijd (toegenomen),tijd (correct),anatomie (cyste),anatomie (correct),path (scar),path (correct),massa (massa),massa (correct),bij massa,bij massa (correct),,kalk (correct),bij calc,bij calc (correct),archasym (asymmetrie),archasym (correct),bij class (bi-rads),bij class (correct),proj (projectie),proj (correct)
toegenomen,1e,cyste,atheroomcyste,scar,huidafwijking,massa,asymmetrie,rond,afgrensbare,kalk,calc,pleiomorfe,aantal,asymmetrie,architectuurverstoring,screenings,adenosis,projectie,compositiebeeld
toenemende, anders,projectie, borst,radial, mastectomie,verdichting, densiteit, gladbegrensde, begrensd,microkalk,kalk, verspreid, amorfe,inhomogene,asymmetrie, maligniteit, benigne,proj,projectie
 geleidelijk, conform,lymfklier, cyste, adenosis, operatie, asymmetrie, gebiedje, isodense, begrensde, verkalkingen,mc, lineair, cluster, grillige,, analyse, bi-rads, comp,projectiebeeld
 langzaam, eerder,compositiebeeld, fibroadenoom, scleroserende, scar, densiteit, lesie, gelobde, contour, enigszins,microcalcificaties, dubieus, diffuus, opvallende,, conclusie:de, carcinoom, klierweefsel,
 densere, eerste,, huid, compositie, scarlesion, ovale, massa, hyperdense, dense, fijn,microkalk, amorf, ductaal, irregulaire,, fibroadenoom, classificatie, compositiebeeld,
 volume, groter,, klierschijf, lymklier, tepelintrekking, matig, massavorming, nieuw, gelobde, kalkconclusie,verkalkingen, heterogeen, fijne, stervormige,, calcificaties, dcis, normale,
 welke, laatste,, klierweefsel, compositiebeeld,, laag, verdichting, groot, gespiculeerde, mc,, axillair, gegroepeerde, iest,, klierweefsel, invasief, lesie,
 segmentaal, langzaam,, litteken, intramammaire,, diameter,, dense, glad, microcalcificaties,, dd, gemengd, focale,, zekerheid, klassiek, lymfeklier,
, nieuwe,, lymfklier, reeel,, iest,, nodulaire, gladbegrensde,,, pre-existente, gerangschikte, licht,, scarlesie, maligniteit,,
, novo,, mamma, caveconclusie,, contour,, rondovale, grote,,, fa, groep, asymmetrische,, klierweefselprojectiescreenings, mammasparende,,
, nu,, mammareductie,,, vrij,, irregulaire, hobbelig,,, ongewijzigd, groepje,,, sluitenscreenings, mastopathie,,
, ongewijzigd,, musculus,,,,, glad, isodense,,, bekend, grofheterogene,,, aandacht, neoplastisch,,
, oude,, prothese,,,,, novo, kleine,,, enig, irregulaire,,, beeldvorming, papilloom,,
, postoperatief,, scarlesie,,,,, stervormig, nodulaire,,,, lineair,,, adenose, pathologisch,,
, progressief,, tepel,,,,, mogelijk, onscherp,,,, mastopathische,,, geven, suspect,,
, toegenomen,, vetnecrose,,,,, vaag, rafelig,,,, pleiomorfe,,, solide, verdacht,,
, toenemende,,,,,,, voorheen, ronde,,,, puntvormige,,, zekerheidscreenings,,,
, vergeleken,,,,,,, gespiculeerde, scherp,,,, scleroserende,,, solidecystescreenings,,,
, vervolgronde,,,,,,, laagdense, solide,,,, segmentele,,, dcisscreenings,,,
, voorheen,,,,,,, ovaalvormige, solitaire,,,, verspreide,,, rechts,,,
, vorige,,,,,,, thans, spiculae,,,, vertakkende,,, imponeren,,,
,,,,,,,, inhomogene, stervormige,,,,,,, fibroadenoomcalcificaties,,,
,,,,,,,, toenemend, uitlopers,,,,,,, uitgesloten,,,
,,,,,,,, dubieus, vorm,,,,,,, benigne,,,
,,,,,,,, onregelmatig,,,,,,,,,,,
,,,,,,,, centraal,,,,,,,,,,,
,,,,,,,, scherpbegrensde,,,,,,,,,,,
,,,,,,,, gevormd,,,,,,,,,,,
,,,,,,,, scherp,,,,,,,,,,,
,,,,,,,, toch,,,,,,,,,,,
,,,,,,,, solitair,,,,,,,,,,,
,,,,,,,, schijnbaar,,,,,,,,,,,
,,,,,,,, subtiel,,,,,,,,,,,
,,,,,,,, scirrheuze,,,,,,,,,,,
,,,,,,,, multifocale,,,,,,,,,,,
,,,,,,,, onderliggend,,,,,,,,,,,
,,,,,,,, solide,,,,,,,,,,,
,,,,,,,, retromamillair,,,,,,,,,,,
,,,,,,,, grillig,,,,,,,,,,,
,,,,,,,, verdacht,,,,,,,,,,,
,,,,,,,, aanwezig,,,,,,,,,,,
,,,,,,,, mediaal,,,,,,,,,,,
,,,,,,,, 2.de,,,,,,,,,,,
,,,,,,,, links,,,,,,,,,,,
,,,,,,,, atypische,,,,,,,,,,,
,,,,,,,, lbk,,,,,,,,,,,
,,,,,,,, enig,,,,,,,,,,,
,,,,,,,, c.q.,,,,,,,,,,,
,,,,,,,, bijkomend,,,,,,,,,,,
,,,,,,,, bergensde,,,,,,,,,,,
,,,,,,,, laterocraniaal,,,,,,,,,,,
,,,,,,,, suspecte,,,,,,,,,,,
,,,,,,,, reeele,,,,,,,,,,,
,,,,,,,, nu,,,,,,,,,,,
,,,,,,,, hobbelig,,,,,,,,,,,
,,,,,,,, dd,,,,,,,,,,,
,,,,,,,, samengesteld,,,,,,,,,,,
,,,,,,,, langgerekt,,,,,,,,,,,
,,,,,,,, onveranderd,,,,,,,,,,,
,,,,,,,, ook,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
