proj (projectie),pros (correct),tijd (tijd),tijd (correct),anatomie (cyste),anatomie (correct),path (scar),path (correct),massa (massa),massa (correct),bij massa,bij massa (correct),kalk (kalk),kalk (correct),bij calc,bij calc (correct),archasym (asymmetrie),archasym (correct),bij class,bij class (correct)
compositiebeeld,compositiebeeld,1984,1e,compositiebeeld,atheroomcyste,adenosis,huidafwijking,asymmetrie,asymmetrie, 2de,afgrensbare, microcalcificaties,calc,amorf,aantal,architectuurverstoring,architectuurverstoring, beeldvorming,adenosis
 cyste-,projectie, 2015, anders, cysten, borst, compo, mastectomie, begrenzing, densiteit, aanwezig, begrensd, calc,kalk, axillair, amorfe, asymmetrische,asymmetrie, additionele, benigne
 ductectasie,projectiebeeld, aanzienlijk, conform, fa, cyste, compositie, operatie, centrum, gebiedje, asymmetrie, begrensde, calcificaties,mc, bekend, cluster, axillair,, aanvullende, bi-rads
 ectopisch,, bloederige, eerder, littekenkalk, fibroadenoom, compositiebeeld, scar, deels, lesie, atypische, contour, enigszins,microcalcificaties, dd, diffuus, begrenzing,, additionele, carcinoom
 klierweefsel,, cliente, eerste, ly, huid, fa, scarlesion, densiteit, massa, bergensde, dense, fijn,microkalk, dubieus, ductaal, cm,, beeldvorming, classificatie
 lesie,, differentiaaldiagnose, groter, lymfklier, klierschijf, fibroadenoom, tepelintrekking, diameter, massavorming, bijkomend, gelobde, klein,verkalkingen, enig, fijne, deels,, classificatie, dcis
 lymfeklier,, fotobespreking, laatste, maligne, klierweefsel, littekenkalk,, fijne, verdichting, cq, gespiculeerde, mc,, fa, gegroepeerde, grillige,, conclusie, invasief
 normale,, interne, langzaam, mastopathisch, litteken, lymfenodus,, iest,, centraal, glad, microcalcificaties,, heterogeen, gemengd, hyperdense,, contralaterale, klassiek
 proj,, lnn, nieuwe, projectie, lymfeklier, lymfklier,, licht,, dd, gladbegrensde, microkalk,, lineair, gerangschikte, iest,, ge\xefndiceerd, maligniteit
 projectiebeeld,, mammae, novo, radial, lymfklier, lymfoom,, matig,, dense, grote, rangschikking,, ongewijzigd, groep, inhomogene,, is, mammasparende
 reeele,, mans, nu, scar, lymfkliertje, mastopathie,, max,, dubieus, hobbelig, uitlopertjes,, pleiomorfe, groepje, irregulaire,, klassiek, mastopathie
 scar,, past, ongewijzigd, scleroserende, mamma, proj,, ovale,, enig, isodense, verkalkingen,, pre-existente, grofheterogene, kleine,, maar, neoplastisch
 toevallige,, prothesen, oude, vaatkalk, mammareductie, radial,, relatief,, gelobde, kleine,"u""s""",, verspreid, irregulaire, licht,, screeningsbi-rads, papilloom
,, retropectorale, postoperatief,compositiebeeld, musculus, reeel,, tot,, gespiculeerde, nodulaire, calc,,, lineair, massa,, verdacht, pathologisch
,, situ, progressief, cysten, prothese, scleroserende,, verdichting,, gevormd, onscherp, calcificaties,,, mastopathische, ongeveer,, voor, suspect
,, tepeluitvloed, toegenomen, fa, scarlesie,,, vrij,, glad, rafelig, enigszins,,, pleiomorfe, ovale,, aanvullende, verdacht
,, uitvoerig, toenemende, littekenkalk, tepel,,, weinig,, gladbegrensde, ronde, fijn,,, puntvormige, stervormige,,,
,, ziekenhuis, vergeleken, ly, vetnecrose,,,,, grillig, scherp, klein,,, scleroserende, suggestie,,,
,,1984, vervolgronde, lymfklier,,,,,, groot, solide, mc,,, segmentele, verdichting,,,
,, 2015, voorheen, maligne,,,,,, hobbelig, solitaire,,,, verspreide,architectuurverstoring,,,
,,, vorige,,,,,,, hyperdense, spiculae,,,, vertakkende,,,,
,,,,,,,,,, inhomogene, stervormige,,,,,,,,
,,,,,,,,,, irregulaire, uitlopers,,,,,,,,
,,,,,,,,,, isodense, vorm,,,,,,,,
,,,,,,,,,, laagdense,,,,,,,,,
,,,,,,,,,, langgerekt,,,,,,,,,
,,,,,,,,,, laterocraniaal,,,,,,,,,
,,,,,,,,,, lbk,,,,,,,,,
,,,,,,,,,, links,,,,,,,,,
,,,,,,,,,, mediaal,,,,,,,,,
,,,,,,,,,, mogelijk,,,,,,,,,
,,,,,,,,,, multifocale,,,,,,,,,
,,,,,,,,,, nieuw,,,,,,,,,
,,,,,,,,,, nodulaire,,,,,,,,,
,,,,,,,,,, novo,,,,,,,,,
,,,,,,,,,, nu,,,,,,,,,
,,,,,,,,,, onderliggend,,,,,,,,,
,,,,,,,,,, onregelmatig,,,,,,,,,
,,,,,,,,,, onveranderd,,,,,,,,,
,,,,,,,,,, ook,,,,,,,,,
,,,,,,,,,, ovaalvormige,,,,,,,,,
,,,,,,,,,, ovale,,,,,,,,,
,,,,,,,,,, parenchymverstoring,,,,,,,,,
,,,,,,,,,, reeele,,,,,,,,,
,,,,,,,,,, retromamillair,,,,,,,,,
,,,,,,,,,, rond,,,,,,,,,
,,,,,,,,,, rondovale,,,,,,,,,
,,,,,,,,,, samengesteld,,,,,,,,,
,,,,,,,,,, scherp,,,,,,,,,
,,,,,,,,,, scherpbegrensde,,,,,,,,,
,,,,,,,,,, schijnbaar,,,,,,,,,
,,,,,,,,,, scirrheuze,,,,,,,,,
,,,,,,,,,, solide,,,,,,,,,
,,,,,,,,,, solitair,,,,,,,,,
,,,,,,,,,, stervormig,,,,,,,,,
,,,,,,,,,, subtiel,,,,,,,,,
,,,,,,,,,, suspecte,,,,,,,,,
,,,,,,,,,, thans,,,,,,,,,
,,,,,,,,,, toch,,,,,,,,,
,,,,,,,,,, toenemend,,,,,,,,,
,,,,,,,,,, vaag,,,,,,,,,
,,,,,,,,,, verdacht,,,,,,,,,
,,,,,,,,,, voorheen,,,,,,,,,
